repeats,epochs,batch,output_dims,output_model,tasks,height,width,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,1,0,4,5,420,14,2540028,3273517,3005697,3251024,3057117,3491448,3262669,3463955,3634442,3973636,3857454,4187454,4160648,4490455,613690,668666,750529,775047,849679,930160,995677,6038,61579,12340,65224,14515,69725,19732
10,10,100,1,0,4,5,424,14,2486985,3280357,2994090,3236792,3061675,3478124,3275477,3388995,3569442,3908636,3792454,4122454,4095648,4425455,599069,668057,749188,773198,848721,928594,993141,6958,62348,14219,65623,17499,70340,22725
10,10,100,1,0,4,5,428,14,2578635,3338214,3028551,3304242,3141245,3495533,3288202,3523905,3694442,4033636,3917454,4247454,4220648,4550455,623723,678608,760004,785699,859771,935415,1004990,5616,64020,11598,66130,18997,68848,19471
10,10,100,1,0,4,5,432,14,2510833,3358427,3028769,3287210,3138819,3544482,3334276,3449035,3629442,3968636,3852454,4182454,4155648,4485455,609736,677953,758655,783277,858717,941506,1004018,5606,67423,14509,67419,22282,71509,26254
10,10,100,1,0,4,5,436,14,2646066,3372433,3043222,3346858,3144707,3575955,3335574,3583975,3754442,4093636,3977454,4307454,4280648,4610455,631808,687988,770042,795211,869631,950204,1015496,7087,61978,9452,65512,16464,69003,19543
10,10,100,1,0,4,5,440,14,2549347,3397748,3042841,3450877,3271965,3561281,3345730,3508955,3689442,4028636,3912454,4242454,4215648,4545455,618980,688268,768857,809985,871080,945613,1014837,5791,65647,11694,77027,29642,72269,21692
10,10,100,1,0,4,5,444,14,2674709,3432859,3099997,3443236,3227239,3687122,3394212,3643935,3814442,4153636,4037454,4367454,4340648,4670455,643397,697959,779816,805180,879608,960893,1024269,6109,62173,10065,69230,20138,72384,21765
10,10,100,1,0,4,5,448,14,2621764,3437218,3041606,3383237,3172854,3636055,3351821,3569005,3749442,4088636,3972454,4302454,4275648,4605455,629813,697934,778622,803953,878786,959782,1023060,6016,64544,8769,67464,17483,71298,19398
10,10,100,1,0,4,5,452,15,2739090,3492883,3120339,3500883,3226942,3725640,3416068,3703955,3874442,4233636,4097454,4447454,4400648,4750455,655323,708559,795361,814837,894450,969324,1039671,6810,63229,4581,69654,12318,73899,16362
10,10,100,1,0,4,5,456,15,2637442,3485513,3072890,3430677,3177244,3651579,3369318,3628885,3809442,4168636,4032454,4382454,4335648,4685455,639324,708157,793639,813292,892792,963489,1036950,6340,66936,4182,70058,10807,72982,14447
10,10,100,1,0,4,5,460,15,2771434,3614052,3178403,3565849,3313761,3820481,3512868,3763895,3934442,4293636,4157454,4507454,4460648,4810455,661985,718110,805252,824599,904321,978193,1049674,7027,67480,5552,71665,15036,76560,19647
10,10,100,1,0,4,5,464,15,2696577,3621864,3137450,3569669,3264250,3799885,3432200,3688975,3869442,4228636,4092454,4442454,4395648,4745455,649714,717928,803627,823763,903579,974920,1047747,6171,68481,5953,74569,14303,76254,14011
10,10,100,1,0,4,5,468,15,2800471,3654935,3213635,3601722,3296091,3850872,3511855,3823995,3994442,4353636,4217454,4567454,4520648,4870455,672967,728033,815071,834920,914905,990705,1058985,6092,68304,5967,71387,12301,76333,16809
10,10,100,1,0,4,5,472,15,2712522,3596345,3146935,3537981,3238314,3758217,3451083,3748985,3929442,4288636,4152454,4502454,4455648,4805455,659231,728227,813844,833299,913062,983264,1057791,5916,68792,5309,73070,10576,76398,15059
10,10,100,1,0,4,5,476,15,2847234,3732758,3246404,3686960,3285970,3923295,3495307,3883965,4054442,4413636,4277454,4627454,4580648,4930455,682544,737949,824975,845304,924188,1000517,1070150,6182,68834,5853,73022,8995,76522,13322
10,10,100,1,0,4,5,480,15,2781667,3619281,3235791,3613971,3331632,3859180,3543764,3809005,3989442,4348636,4212454,4562454,4515648,4865455,669122,737905,823607,843186,923414,999331,1069080,7761,67268,7916,74605,13574,78624,18618
10,10,100,1,0,4,5,484,16,2929716,3895435,3398689,3838397,3460102,4124401,3667120,3943995,4114442,4493636,4337454,4707454,4640648,5010455,693039,748602,840256,855321,939667,1008004,1084612,7435,71686,7679,75289,13542,79703,18358
10,10,100,1,0,4,5,488,16,2801279,3779239,3277150,3683689,3381972,3967931,3557224,3868985,4049442,4428636,4272454,4642454,4575648,4945455,679352,747928,838622,853766,938235,1008536,1082357,6170,72932,3816,75754,11197,81110,13158
10,10,100,1,0,4,5,492,16,2930974,3767001,3351024,3771657,3429172,4058695,3640767,4003925,4174442,4553636,4397454,4767454,4700648,5070455,705307,758325,850198,865349,949569,1020385,1093718,6664,65842,4115,72495,10411,78893,15449
10,10,100,1,0,4,5,496,16,2879447,3738625,3347712,3755364,3417193,4007992,3619547,3928905,4109442,4488636,4332454,4702454,4635648,5005455,690304,757962,848735,863317,947947,1018953,1092696,7369,66444,6265,75943,11819,81676,16225
10,10,100,1,0,4,5,500,16,2984062,3855803,3431884,3787147,3514075,4042604,3719172,4063885,4234442,4613636,4457454,4827454,4760648,5130455,713791,768092,860062,875338,960152,1025372,1105832,6498,71470,6667,73043,13840,79029,17257
10,10,100,1,0,4,5,504,16,2926533,3866067,3414130,3801334,3496575,4121358,3697682,3989005,4169442,4548636,4392454,4762454,4695648,5065455,698241,767933,858647,873179,958691,1029248,1103496,6941,69542,7066,73605,12277,81716,16635
10,10,100,1,0,4,5,508,16,3027103,3879209,3461157,3836993,3519961,4136399,3720594,4123995,4294442,4673636,4517454,4887454,4820648,5190455,723665,777941,869829,884650,969440,1035492,1114209,6679,67222,6272,71021,10675,80627,15522
10,10,100,1,0,4,5,512,16,2961937,4039394,3552252,3866319,3540031,4135232,3788458,4048905,4229442,4608636,4452454,4822454,4755648,5125455,709182,777921,867402,883515,969017,1039474,1113565,6522,79231,14183,79175,14389,86181,20974
10,10,100,1,0,4,5,516,17,3073713,3845453,3506580,3923002,3597039,4172299,3798887,4183905,4354442,4753636,4577454,4967454,4880648,5270455,732511,787913,884894,894750,983930,1049806,1128487,6290,62657,2558,76913,8337,81971,13381
10,10,100,1,0,4,5,520,17,3019931,4003118,3517919,3944056,3607735,4243284,3825328,4108985,4289442,4688636,4512454,4902454,4815648,5205455,719131,788429,883914,893881,983941,1049832,1129152,6881,75249,5468,78760,11266,85824,17111
10,10,100,1,0,4,5,524,17,3107613,3993340,3553087,3964857,3644431,4265166,3865802,4243975,4414442,4813636,4637454,5027454,4940648,5330455,743954,797932,894872,905065,994427,1060809,1139447,6623,70749,3944,77513,10662,83770,15221
10,10,100,1,0,4,5,528,17,3037208,4086451,3586727,3867081,3613251,4212984,3853621,4169065,4349442,4748636,4572454,4962454,4875648,5265455,730230,797973,893405,903273,993137,1058696,1138181,7009,78316,9574,72946,11647,84385,18111
10,10,100,1,0,4,5,532,17,3194692,4012974,3631686,4112634,3693921,4429166,3920687,4303945,4474442,4873636,4697454,5087454,5000648,5390455,753128,807945,904869,914417,1004292,1065130,1148852,6647,60899,5188,74701,10563,84514,15629
10,10,100,1,0,4,5,536,17,3080683,4128491,3571825,3991682,3638568,4278512,3852184,4228915,4409442,4808636,4632454,5022454,4935648,5325455,738771,807945,903671,913257,1004157,1065828,1147912,6867,79969,6239,80869,10476,84422,14468
10,10,100,1,0,4,5,540,17,3229231,4124843,3682806,4224978,3744503,4498129,3948618,4363995,4534442,4933636,4757454,5147454,5060648,5450455,765351,817906,914828,924505,1014416,1080608,1159844,7099,65538,6446,80044,12277,84750,16597
