repeats,epochs,batch,output_dims,output_model,tasks,height,width,clustering,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,1,0,8,800,176,26,2,6,72700121,0,0,0,0,87106245,74214624,125745116,0,0,0,0,195237257,233637048,8180022,0,0,0,0,9794503,9956244,4703973,0,0,0,0,6027897,5627811
10,10,100,1,0,8,800,176,27,2,6,73919891,0,0,0,0,86382591,73486053,125745117,0,0,0,0,195237257,233637047,8447204,0,0,0,0,10027616,10172391,5071241,0,0,0,0,6109756,5670584
10,10,100,1,0,8,800,176,28,2,6,73362324,0,0,0,0,85836245,72978669,125745116,0,0,0,0,195237256,233637047,8190121,0,0,0,0,9720527,9875178,4789812,0,0,0,0,5841066,5439207
10,10,100,1,0,8,800,176,29,2,6,73642983,0,0,0,0,85657682,72821939,125745117,0,0,0,0,195237256,233637048,8481463,0,0,0,0,9954884,10070532,4986885,0,0,0,0,5952992,5521399
10,10,100,1,0,8,800,176,30,2,6,72610382,0,0,0,0,84518472,72554527,125745117,0,0,0,0,195237256,233637047,8162548,0,0,0,0,9675320,9885486,4803387,0,0,0,0,5628400,5284189
10,10,100,1,0,8,800,176,31,2,6,73359516,0,0,0,0,84003535,73034037,125745116,0,0,0,0,195237257,233637047,8528993,0,0,0,0,9998331,10114480,5156009,0,0,0,0,5647308,5290527
10,10,100,1,0,8,800,176,32,2,6,72222594,0,0,0,0,85975480,72918928,125745116,0,0,0,0,195237257,233637047,8164275,0,0,0,0,9652507,9809029,4800274,0,0,0,0,5756748,5255228
10,10,100,1,0,8,800,176,33,2,6,73225588,0,0,0,0,85283338,72973817,125745116,0,0,0,0,195237257,233637047,8462295,0,0,0,0,10018252,10161373,5008745,0,0,0,0,5989263,5634112
10,10,100,1,0,8,800,176,34,2,6,72846215,0,0,0,0,84732446,73049580,125745116,0,0,0,0,195237256,233637047,8095718,0,0,0,0,9646723,9824452,4814589,0,0,0,0,5574992,5192250
10,10,100,1,0,8,800,176,35,2,6,72570600,0,0,0,0,84968699,73225989,125745116,0,0,0,0,195237257,233637047,8602014,0,0,0,0,9979278,10167953,5142232,0,0,0,0,5746892,5335461
