repeats,epochs,batch,output_dims,output_model,tasks,height,width,clustering,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,1,0,8,800,176,22,2,6,78206790,0,0,0,0,84151826,69074083,160933907,0,0,0,0,222523663,248123459,8318686,0,0,0,0,9906617,9854764,4892570,0,0,0,0,4846154,4303885
10,10,100,1,0,8,800,176,23,2,6,75480121,0,0,0,0,84096047,69053570,160933907,0,0,0,0,222523663,248123460,8312269,0,0,0,0,10112640,10218493,4736040,0,0,0,0,4616219,4374453
10,10,100,1,0,8,800,176,24,2,6,75010887,0,0,0,0,83029467,68608736,160933907,0,0,0,0,222523663,248123460,7956377,0,0,0,0,9772310,9835641,4867459,0,0,0,0,4489475,4204499
10,10,100,1,0,8,800,176,25,2,6,77209775,0,0,0,0,83209072,69130614,160933907,0,0,0,0,222523663,248123460,8174043,0,0,0,0,10050750,10161194,4971858,0,0,0,0,4693586,4376291
10,10,100,1,0,8,800,176,26,2,6,75550881,0,0,0,0,83607124,68947282,160933907,0,0,0,0,222523663,248123460,8230342,0,0,0,0,10046794,10196383,4893285,0,0,0,0,4701352,4353421
10,10,100,1,0,8,800,176,27,2,6,74509396,0,0,0,0,81516367,68554392,160933906,0,0,0,0,222523663,248123460,8036777,0,0,0,0,9775921,9787268,4928772,0,0,0,0,4410267,4203298
10,10,100,1,0,8,800,176,28,2,6,76632995,0,0,0,0,83440546,69090510,160933907,0,0,0,0,222523663,248123460,8182506,0,0,0,0,10030121,10177231,4960609,0,0,0,0,4574583,4309132
10,10,100,1,0,8,800,176,29,2,6,75145784,0,0,0,0,82919100,68572787,160933907,0,0,0,0,222523663,248123460,8179379,0,0,0,0,9939447,10027504,4982672,0,0,0,0,4535888,4209546
10,10,100,1,0,8,800,176,30,2,6,75168799,0,0,0,0,82541635,68661631,160933907,0,0,0,0,222523663,248123459,8162313,0,0,0,0,9969184,10031022,4925353,0,0,0,0,4489622,4237630
10,10,100,1,0,8,800,176,31,2,6,73912594,0,0,0,0,81200642,68410426,160933907,0,0,0,0,222523663,248123460,8200575,0,0,0,0,9631942,9642982,4885940,0,0,0,0,4383604,4138802
10,10,100,1,0,8,800,176,32,2,6,73873613,0,0,0,0,82964542,68274284,160933906,0,0,0,0,222523663,248123460,8237419,0,0,0,0,9884415,10015201,4951260,0,0,0,0,4553238,4186066
10,10,100,1,0,8,800,176,33,2,6,74042732,0,0,0,0,82280513,68738850,160933907,0,0,0,0,222523663,248123460,8128254,0,0,0,0,9895029,9986922,4796251,0,0,0,0,4374361,4120648
10,10,100,1,0,8,800,176,34,2,6,75985087,0,0,0,0,83260680,68683705,160933907,0,0,0,0,222523663,248123460,8086035,0,0,0,0,10031003,10004314,4996588,0,0,0,0,4439717,4238364
10,10,100,1,0,8,800,176,35,2,6,75539722,0,0,0,0,82138469,68785649,160933907,0,0,0,0,222523663,248123460,8446603,0,0,0,0,9664505,9678795,4953289,0,0,0,0,4515202,4125287
10,10,100,1,0,8,800,176,36,2,6,74694545,0,0,0,0,82617543,68598766,160933907,0,0,0,0,222523663,248123460,8311994,0,0,0,0,9875905,9964248,4900733,0,0,0,0,4386859,4249931
10,10,100,1,0,8,800,176,37,2,6,75963085,0,0,0,0,81593510,68113882,160933906,0,0,0,0,222523663,248123460,8153716,0,0,0,0,9557104,9510709,5072547,0,0,0,0,4403076,4123571
10,10,100,1,0,8,800,176,38,2,6,74011016,0,0,0,0,82361183,68247641,160933906,0,0,0,0,222523663,248123460,8150047,0,0,0,0,9964644,9985670,4972147,0,0,0,0,4364470,4119995
10,10,100,1,0,8,800,176,39,2,6,71727039,0,0,0,0,80813861,68051184,160933907,0,0,0,0,222523663,248123459,8239759,0,0,0,0,9675082,9746116,4820797,0,0,0,0,4303026,4003563
10,10,100,1,0,8,800,176,40,2,6,75756093,0,0,0,0,83548019,69619303,160933907,0,0,0,0,222523663,248123460,8348080,0,0,0,0,9877485,9907399,4955641,0,0,0,0,4402609,4184695
10,10,100,1,0,8,800,176,41,2,6,73026750,0,0,0,0,81341292,68526759,160933906,0,0,0,0,222523663,248123460,8202467,0,0,0,0,9692093,9788075,4652911,0,0,0,0,4373252,4151441
