platcode,op,repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,coro-no-prefetch-ratio-mean,coro-no-prefetch-ratio-sd,coro-prefetch-ratio-mean,coro-prefetch-ratio-sd
aw,leaf,100,10,100,1,0,2,80,448,2,0,0.8560162350389902,0.014638821256129014,1.110351327255062,0.015185599632239824
aw,leaf,100,10,100,1,0,4,80,448,2,0,0.8405286880110965,0.01098946773691836,1.1788363906199757,0.01272087319262823
aw,svm,100,2,10,1,0,6,40,618,2,0,1.0921050839706314,0.037607483267217086,1.1582582607508776,0.04296443761497714
aw,svm,100,2,10,1,0,6,40,618,2,0,1.08996988547262,0.06512707494571324,1.1669070024982646,0.07966181052409625
aw,svm32,100,2,10,1,0,8,400,922,4,0,0.9730854160460332,0.009392960051251495,0.8185900876431268,0.03227391518570434
aw,svm32,100,2,10,1,0,2,400,162,4,0,1.000574062115123,0.003146754360982558,1.1032489831222314,0.0037053316669804948
aw,svmf32,100,2,10,1,0,2,100,336,4,0,0.9754968550942575,0.0020118202078273305,0.9584923684373534,0.0018918131561825673
aw,svmf32,100,2,10,1,0,6,200,316,4,0,0.9689401718077779,0.0012439780374239467,0.957588783081885,0.0012051575478728125
aw,svmf64,100,2,10,1,0,6,40,544,8,0,0.972974620172358,0.003221665976106201,0.826649041783603,0.003051902623892558
aw,svmf64,100,2,10,1,0,2,400,124,8,0,0.9184039447434275,0.0031070158738673755,0.9308238954635222,0.0036357834476866244
aw,norm,100,10,100,2,0,4,200,168,2,0,0.9977549290379276,0.0004180049578425613,0.9477934847850693,0.00029298117869137587
aw,norm,100,10,100,2,0,4,200,168,2,0,0.9972614924454575,0.0051340601828791235,0.9476755529957397,0.0023538236821958516
aw,norm32,100,10,100,2,0,8,40,152,4,0,0.9575317013772096,0.000716020673449592,0.9524748492693967,0.0012091773514456728
aw,norm32,100,10,100,2,0,8,40,152,4,0,0.9576195113851586,0.00097405361920964,0.9531096756698303,0.0012457860523864127
aw,normf32,100,10,100,2,0,2,40,704,4,0,0.9679611748397687,0.004370640030341753,0.773637164489456,0.0026118629306863205
aw,normf32,100,10,100,2,0,4,100,120,4,0,0.9003105160350671,0.0027546949011601134,1.0350821057484427,0.0024185871391227474
aw,normf64,100,10,100,2,0,2,40,68,8,0,0.9724906369845516,0.001658834790766545,0.9909795607413702,0.0015093026348685279
aw,normf64,100,10,100,2,0,4,100,60,8,0,0.9607560324094636,0.006516872666255023,1.0694941156095847,0.006895922817428363
aw,cnn,100,2,10,2,0,6,400,22,2,0,0.9204404965506059,0.004278168168969918,0.9000023608360658,0.0027581616611441553
aw,cnn,100,2,10,2,0,6,400,22,2,0,0.9191292780359825,0.003691518237234217,0.8982742144663617,0.003312654814681291
aw,cnn32,100,2,10,2,0,8,100,710,4,0,0.9893700927934118,0.0033294701168105215,0.9481237320164702,0.0008046204402391261
aw,cnn32,100,2,10,2,0,2,100,206,4,0,0.9599133428336671,0.0030240178744368,0.9558249541003471,0.0033113381547897093
aw,cnnf32,100,2,10,2,0,2,100,870,4,0,0.9898411254824011,0.0058313373317952465,0.838543008100569,0.00378795905891915
aw,cnnf32,100,2,10,2,0,2,200,214,4,0,0.9585402857552527,0.009162173445146277,0.946123994925993,0.006869214748773351
aw,cnnf64,100,2,10,2,0,8,200,150,8,0,0.9322872281148803,0.003446887046810583,0.8878561604186733,0.0034827930561010284
aw,cnnf64,100,2,10,2,0,8,200,150,8,0,0.9308074129796244,0.004021654132349844,0.885828835302129,0.003940231391048601
