repeats,epochs,batch,output_dims,output_model,tasks,height,width,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,1,0,8,5,208,7,803231,910968,959271,1021574,1031790,1207007,1210609,1006402,1163278,1363853,1396084,1586084,1704547,1894288,188238,273020,313775,355145,394974,505595,543308,19554,34914,7865,35336,10244,38128,13526
10,10,100,1,0,8,5,212,7,673741,804502,814543,937440,913210,1120796,1068386,916402,1073278,1273853,1306084,1496084,1614547,1804288,173251,257972,298244,340094,380722,490748,526089,23801,35358,3869,35926,6055,37620,7706
10,10,100,1,0,8,5,216,7,839245,926774,943387,1042913,1022149,1221340,1191823,1031402,1188278,1388853,1421084,1611084,1729547,1919288,193232,277288,318334,360242,399901,511390,548002,26068,35827,3810,36069,5726,37967,8214
10,10,100,1,0,8,5,220,7,695805,814150,836232,948595,929644,1136810,1097249,941402,1098278,1298853,1331084,1521084,1639547,1829288,178257,262733,303505,345352,385849,495976,533098,24844,36600,3559,37300,5183,39578,7725
10,10,100,1,0,8,5,224,7,878908,965604,994300,1079292,1063696,1254655,1230731,1056402,1213278,1413853,1446084,1636084,1754547,1944288,198229,282288,323468,366689,405897,516679,553004,29314,37253,3710,37838,4764,39618,7219
10,10,100,1,0,8,5,228,8,726949,847763,858792,973440,942940,1162476,1120063,966402,1123278,1343853,1356084,1566084,1664547,1874288,183254,268924,314434,350262,395351,502228,542435,28218,38010,2037,38020,2679,39762,4594
10,10,100,1,0,8,5,232,8,862708,957512,1017478,1080843,1082494,1250789,1240561,1081402,1238278,1458853,1471084,1681084,1779547,1989288,203233,287349,333208,371686,415648,521178,562542,26497,38427,2577,38792,3408,40164,5226
10,10,100,1,0,8,5,236,8,727670,857171,875945,990377,974224,1173810,1133826,991402,1148278,1368853,1381084,1591084,1689547,1899288,188252,272805,318045,355026,400523,505921,547316,24963,38793,2535,39541,3740,40786,5372
10,10,100,1,0,8,5,240,8,885043,991343,1024230,1121081,1095122,1309022,1260934,1106402,1263278,1483853,1496084,1706084,1804547,2014288,208226,292443,338519,376369,420606,526500,567759,22934,39435,2749,40045,4185,41420,6031
10,10,100,1,0,8,5,244,8,759879,866965,907321,1000800,988222,1184271,1158157,1016402,1173278,1393853,1406084,1616084,1714547,1924288,193228,277549,323173,360100,405688,511187,552151,27201,40063,3546,41024,5597,43277,8028
