platcode,op,repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,coro-no-prefetch-ratio-mean,coro-no-prefetch-ratio-sd,coro-prefetch-ratio-mean,coro-prefetch-ratio-sd
op,leaf,100,10,100,1,0,4,800,200,2,0,1.0217462712072727,0.02008083186663684,1.5075887805822499,0.045100349267669176
op,leaf,100,10,100,1,0,4,800,168,2,0,0.9980041138780534,0.011887484707255562,1.4990682629090335,0.0369756792061319
op,svm,100,2,10,1,0,6,200,938,2,0,1.1339252116110583,0.045319126606562316,1.1216975787505274,0.031102085972681714
op,svm,100,2,10,1,0,2,400,514,2,0,0.9933298264492678,0.013708036198994944,1.1661132556168783,0.02763095558220315
op,svm32,100,2,10,1,0,8,100,354,4,0,0.9734233010204815,0.006374758281689299,0.9857607309884285,0.016052296791293465
op,svm32,100,2,10,1,0,2,800,170,4,0,0.995937633230265,0.004500894422285177,1.1264078416084158,0.07546912181668827
op,svmf32,100,2,10,1,0,2,100,512,4,0,1.0195379726566873,0.0032684393960812396,0.9389537834286185,0.003382170549839232
op,svmf32,100,2,10,1,0,2,800,320,4,0,0.9703554309799367,0.00146655344377177,0.9584943915466166,0.0016280318952311122
op,svmf64,100,2,10,1,0,2,200,512,8,0,1.030398327836574,0.002560342350782723,0.8213921963839561,0.002033620375176759
op,svmf64,100,2,10,1,0,4,800,52,8,0,0.9003064876972434,0.00497267786697536,0.9494430662064035,0.0064612649413336234
op,norm,100,10,100,2,0,4,40,656,2,0,1.1135623659708416,0.00032865756905017335,1.1002965855324813,0.00047312195537033467
op,norm,100,10,100,2,0,4,100,152,2,0,1.0971620984055521,0.00542969472559844,1.1102624158936094,0.0056030743943201065
op,norm32,100,10,100,2,0,6,40,852,4,0,1.0319601556377935,0.0005457544589309011,1.0044586961002702,0.0005577581554745511
op,norm32,100,10,100,2,0,6,40,852,4,0,1.031845962269736,0.00032563261926137304,1.0042936042919484,0.00041165296370172815
op,normf32,100,10,100,2,0,2,80,484,4,0,1.031637908913515,0.005591333920951137,0.8885479918458608,0.003628986986325167
op,normf32,100,10,100,2,0,4,200,124,4,0,0.9256059848028303,0.004199391809080631,1.0870080095107015,0.00727687542095313
op,normf64,100,10,100,2,0,2,200,72,8,0,0.9595993546693623,0.0033599099113525645,1.0292796139220561,0.014575441765639524
op,normf64,100,10,100,2,0,4,200,60,8,0,0.9529500154384004,0.0027735065356289997,1.0870559439984249,0.0038597804128302536
op,cnn,100,2,10,2,0,8,200,114,2,0,1.0565457241049652,0.005767220994807635,1.0432128056828731,0.007373804963347254
op,cnn,100,2,10,2,0,8,200,114,2,0,1.0588340718208367,0.007395171070954179,1.0434131979888064,0.00749524718631035
op,cnn32,100,2,10,2,0,4,400,674,4,0,0.9944922134279406,0.0009280447716839003,0.9403670868615834,0.0010139209239472945
op,cnn32,100,2,10,2,0,2,400,206,4,0,0.9818868626132387,0.0015673529490605003,0.9811959038223386,0.002693932470775803
op,cnnf32,100,2,10,2,0,2,100,774,4,0,0.9837289991440482,0.005531985035200609,0.8421509265913142,0.005842262309234258
op,cnnf32,100,2,10,2,0,4,400,166,4,0,0.9700363629022002,0.0037319123038882136,0.9884797935908485,0.004585784179418172
op,cnnf64,100,2,10,2,0,2,100,474,8,0,0.9814954924503903,0.005693526810903147,0.8311698304898515,0.004934167102885254
op,cnnf64,100,2,10,2,0,2,400,70,8,0,0.9539872661521943,0.005527710858580696,1.0025010121914875,0.006805709071446887
