platcode,op,repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,toolset,coro-no-prefetch-ratio-mean,coro-no-prefetch-ratio-sd,coro-prefetch-ratio-mean,coro-prefetch-ratio-sd
pi,leaf,100,10,100,1,0,2,10,832,2,0,llvm,1.0068230518688808,0.004578938753045028,0.8520376066462586,0.003092214556010853
pi,leaf,100,10,100,1,0,6,80,128,2,0,llvm,0.7500370884723209,0.0016135387752653403,1.2660630174006156,0.002410086262074762
pi,svm,100,2,10,1,0,2,20,440,2,0,llvm,0.9870569239913104,0.02937555333588056,1.0049132081757484,0.024967904681041136
pi,svm,100,2,10,1,0,6,80,296,2,0,llvm,0.9487158992957464,0.021400935608005815,1.0875652904356876,0.021162063806392777
pi,svm32,100,2,10,1,0,2,80,182,4,0,llvm,1.0046429461617687,0.025354835355827547,1.0437799120224498,0.022203287787535917
pi,svm32,100,2,10,1,0,2,80,166,4,0,llvm,0.9864359615864693,0.03125578723705615,1.0200330671078242,0.02379046585002872
pi,svmf32,100,2,10,1,0,2,80,748,4,0,llvm,0.9578921998254376,0.02269076876871156,0.6827956870557808,0.005146069991576863
pi,svmf32,100,2,10,1,0,2,80,176,4,0,llvm,0.9764924851036416,0.015199829412338087,0.9800737008561476,0.013158738017967212
pi,svmf64,100,2,10,1,0,2,40,120,8,0,llvm,1.025838255245594,0.02652642637401623,1.0153431379238538,0.024027357676109928
pi,svmf64,100,2,10,1,0,4,80,72,8,0,llvm,1.0053408346188177,0.025450927006242387,1.0505899571470716,0.022496428143104836
pi,norm,100,10,100,2,0,2,5,928,2,0,llvm,0.9996592492584812,0.00030854954182269704,0.9943428612938141,0.015015253542250624
pi,norm,100,10,100,2,0,4,10,268,2,0,llvm,0.9948384352226343,0.0003088692100848974,0.9991083547926322,0.00024158852303330026
pi,norm32,100,10,100,2,0,2,10,816,4,0,llvm,0.9971459850806994,0.0007458943174273992,0.9920391617755014,0.0005933958462956866
pi,norm32,100,10,100,2,0,2,5,184,4,0,llvm,0.9955811424675328,0.0020114215718177726,0.9993250572776604,0.002036033277352535
pi,normf32,100,10,100,2,0,8,5,44,4,0,llvm,0.8784731417088508,0.009819832105339668,0.808626797461677,0.011496104700122056
pi,normf32,100,10,100,2,0,2,5,180,4,0,llvm,1.0409436813516093,0.005000417586749073,1.0652789768395587,0.0032509504207026514
pi,normf64,100,10,100,2,0,2,5,164,8,0,llvm,1.028695278540364,0.001558723230138402,0.9563316006999071,0.0013362226382888113
pi,normf64,100,10,100,2,0,6,10,60,8,0,llvm,0.9890409372809177,0.0014583510539130826,1.0090001945467393,0.001074046482104515
pi,cnn,100,2,10,2,0,2,10,714,2,0,llvm,0.9757649946464123,0.009565376694469805,0.9367845336587436,0.006903817626574062
pi,cnn,100,2,10,2,0,2,10,374,2,0,llvm,0.9555190935297517,0.00851012746787515,0.9463737859844293,0.00476350273969957
pi,cnn32,100,2,10,2,0,2,40,218,4,0,llvm,0.983745192427428,0.002058648210675669,0.9734039681336535,0.0007920037681942572
pi,cnn32,100,2,10,2,0,2,40,130,4,0,llvm,0.9850577706250712,0.0009425769604014241,0.9744901021392307,0.0009192183628222452
pi,cnnf32,100,2,10,2,0,2,10,358,4,0,llvm,0.9751129896721913,0.006703647925998192,0.9244533244415595,0.0055442831117394585
pi,cnnf32,100,2,10,2,0,2,40,170,4,0,llvm,0.9851106348753088,0.0042754883908242575,0.9621853286999046,0.001799085901702225
pi,cnnf64,100,2,10,2,0,2,10,166,8,0,llvm,0.9776467371188822,0.01070147277633809,0.8925774080512013,0.0072048627316148185
pi,cnnf64,100,2,10,2,0,2,10,78,8,0,llvm,0.9210561229873335,0.017103294050963207,0.8936876626624161,0.013683612804719527
