repeats,epochs,batch,output_dims,output_model,tasks,height,width,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,1,0,6,800,432,14,149495532,172072571,171226445,173286624,143536946,176618049,136408738,323329822,352836226,404972372,377256638,428456636,386489957,437689834,19447030,21550249,20263758,21567712,20626357,21774297,20713621,11887177,12981117,13486030,13094643,12477794,13063339,12191744
10,10,100,1,0,6,800,436,14,158437511,176153779,176921791,177986920,144465917,180552917,138909127,336929823,365636227,417772372,390056638,441256636,399289959,450489835,19008322,21432294,20053230,21474563,20348784,21540956,20425453,12233500,13037378,13278020,13137496,12473024,13124258,12248172
10,10,100,1,0,6,800,440,14,150705021,173674129,173037283,174637241,145070296,177991975,137898638,328929822,358436226,410572372,382856638,434056636,392089957,443289834,19603129,21547229,20332759,21575843,20560930,21710606,20631937,11896989,12955473,13479915,13118108,12448461,13118411,12185294
10,10,100,1,0,6,800,444,14,163352991,179341962,180388754,180935516,148741298,183837336,143585357,342529822,371236227,423372372,395656638,446856636,404889957,456089834,19899321,22127063,20874784,22244743,21161300,22273671,21198794,12350936,13410239,13862696,13528025,12944141,13573269,12734391
10,10,100,1,0,6,800,448,14,152308098,177538486,179059280,177834347,151802046,180908092,144434309,334529822,364036226,416172372,388456638,439656637,397689957,448889834,20319850,21948048,20715015,21864306,20679713,21972982,20746542,11679801,13229590,14101349,13339019,12763549,13356211,12479333
10,10,100,1,0,6,800,452,15,163637477,181815385,185671325,183907131,148282178,185741947,142574323,348129822,376836227,432172372,401256639,455656636,410489957,464889834,19774444,22158377,20528758,22200315,20997511,22292250,21134302,12634718,13485558,13345155,13617068,12936160,13554665,12684013
10,10,100,1,0,6,800,456,15,156747734,180356008,183287784,181162884,148871533,185863954,140996608,340129822,369636227,424972372,394056639,448456636,403289957,457689834,20115543,22275234,20771021,22357374,21202676,22546998,21226817,12282653,13563390,13556120,13599109,12927002,13691350,12682684
10,10,100,1,0,6,800,460,15,168012887,182808293,186650692,185392605,150703853,188596857,144500471,353729823,382436227,437772372,406856639,461256637,416089958,470489834,20329681,22443532,21030914,22611433,21414157,22792920,21517598,12857991,13697090,13708999,13766320,12990407,13663188,12726545
10,10,100,1,0,6,800,464,15,157735340,182678448,188724176,182329673,154778268,187379302,147338121,345729822,375236227,430572373,399656639,454056637,408889958,463289834,21420445,22692654,21260232,22565096,21370270,22901133,21393417,12151557,13767990,14021325,13940167,13339819,13832247,13103016
10,10,100,1,0,6,800,468,15,174347805,188670991,191174074,188505008,156064750,192256148,150562621,359329823,388036227,443372373,412456639,466856637,421689958,476089835,20648296,23235139,21812353,23203857,22185314,23305219,22275294,13201941,14220099,14395641,14331071,13652278,14372585,13461255
10,10,100,1,0,6,800,472,15,160806347,184735619,190819411,185866994,157100921,189927640,149001752,351329822,380836227,436172373,405256639,459656637,414489958,468889835,21401816,23051726,21593907,23065509,21770336,23213264,21830058,12451832,13988086,14380312,14064012,13475424,14082988,13181815
10,10,100,1,0,6,800,476,15,173741793,189768446,195538434,190226102,160319979,193428112,154303821,364929823,393636227,448972373,418056639,472456637,427289958,481689835,21063831,23218420,21833177,23201697,21881689,23388814,21968820,13209864,14235914,14467535,14350771,13678002,14239014,13458798
10,10,100,1,0,6,800,480,15,165139013,188672166,193034915,188851060,162653372,192083923,157348036,356929823,386436227,441772373,410856639,465256637,420089958,474489835,21739119,23829678,22527083,23764231,22662177,23940127,22818449,12971645,14327532,15019113,14446805,13958960,14340494,13704243
10,10,100,1,0,6,800,484,16,177193142,192116859,200411577,193591038,160278451,197516298,153713154,370529823,399236228,457772373,423656639,481256637,432889958,490489835,21307092,23605223,21870563,23730992,22210333,23923970,22281898,13540920,14425243,14185869,14448229,13879448,14491888,13638265
10,10,100,1,0,6,800,488,16,166047202,189648532,195274073,190584685,160787071,195558278,152465943,362529823,392036227,450572373,416456639,474056637,425689958,483289835,22019177,23705431,22204120,23738383,22584219,24002324,22646552,12903665,14429846,14526779,14560595,13996711,14423283,13706362
10,10,100,1,0,6,800,492,16,181705390,194862769,203597459,196666483,165747481,198747280,159407535,376129824,404836228,463372373,429256640,486856638,438489958,496089835,21716513,24140216,22329078,24234021,22888940,24295568,23066610,13585056,14592469,14533417,14679734,14177029,14601189,13902344
10,10,100,1,0,6,800,496,16,169148400,192803629,201057438,194417481,166772095,197862975,158410629,368129823,397636227,456172373,422056640,479656638,431289958,488889835,22262582,24126564,22643355,24094784,22707449,24382080,22785739,13236023,14606334,15012390,14866236,14294998,14647609,13997472
10,10,100,1,0,6,800,500,16,184150377,198709559,205903079,197949292,169165480,199712173,171484983,381729825,410436229,468972374,434856639,492456638,444089958,501689836,21828407,24358274,22792908,24344132,22970368,24329475,23327767,14013274,14951603,14943809,15016520,14337860,15037830,14265344
10,10,100,1,0,6,800,504,16,171721777,195732284,211067353,196807612,169862818,201624805,161168348,373729823,403236228,461772374,427656640,485256638,436889958,494489835,22689354,24505488,22811057,24516870,23087296,24806234,23111470,13238187,14948047,15001860,15079731,14524281,14978521,14272238
10,10,100,1,0,6,800,508,16,187400086,200281312,212652662,200664277,174962545,204055216,166323296,387329824,416036228,474572374,440456640,498056638,449689959,507289836,21782197,24661453,23164562,24662694,23259742,24823742,23340976,14519131,15202057,15270592,15305741,14713120,15242573,14433088
10,10,100,1,0,6,800,512,16,172710631,202797508,221520314,203233260,211240726,207353677,199742830,379329823,408836228,467372375,433256640,490856641,442489959,500089838,23299100,25341265,24228990,25431029,22531642,25911420,22553467,13253060,14453653,15119944,14711022,14477884,14655917,14190921
10,10,100,1,0,6,800,516,17,192689680,203228887,215290473,205624886,174713246,208284356,179109590,392929824,421636228,483372374,446056640,506856638,455289959,516089836,22810853,25421164,23636465,25575354,24202987,25709863,24525241,14524603,15643821,15288359,15670910,15087038,15544599,15044773
10,10,100,1,0,6,800,520,17,176554676,199790095,213589180,207605857,184143171,205574233,175974616,384929823,414436228,476172374,438856640,499656639,448089959,508889836,23659820,25216581,23472224,25478475,24009117,25484918,24189916,13685774,15302784,15153372,15387852,14846746,15374942,14611488
10,10,100,1,0,6,800,524,17,194240348,205425000,220776040,207050658,188632272,211422438,180829754,398529824,427236228,488972374,451656640,512456639,460889959,521689837,23288225,25873553,24063190,26033794,24782687,26269251,24937591,14797533,15873015,15589245,15893132,15432775,15789832,15189029
10,10,100,1,0,6,800,528,17,179927452,202159785,215048253,203744498,188808883,207388733,178473617,390529823,420036230,481772376,444456643,505256639,453689960,514489836,23657901,25516623,24109560,25534516,24354382,25663267,24551056,14135082,15637015,15920667,15701333,15375882,15636071,15054917
