repeats,epochs,batch,output_dims,output_model,tasks,height,width,clustering,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,1,0,8,800,176,22,2,6,79517381,0,0,0,0,84288976,69148466,160933907,0,0,0,0,222523756,248123460,8276014,0,0,0,0,9939759,9833441,4930264,0,0,0,0,4776658,4247870
10,10,100,1,0,8,800,176,23,2,6,74425590,0,0,0,0,83821647,68948549,160933906,0,0,0,0,222523756,248123460,8192825,0,0,0,0,9789918,9849166,4673144,0,0,0,0,4747782,4385763
10,10,100,1,0,8,800,176,24,2,6,74732438,0,0,0,0,84112607,69138969,160933906,0,0,0,0,222523756,248123460,8022871,0,0,0,0,9801816,9908876,4792594,0,0,0,0,4684698,4444080
10,10,100,1,0,8,800,176,25,2,6,73901957,0,0,0,0,82318319,68694560,160933906,0,0,0,0,222523755,248123460,8118652,0,0,0,0,9875125,9889863,4732865,0,0,0,0,4483576,4266407
10,10,100,1,0,8,800,176,26,2,6,73546151,0,0,0,0,82411967,68850404,160933906,0,0,0,0,222523755,248123460,8100626,0,0,0,0,9912370,9899208,4759283,0,0,0,0,4503148,4313726
10,10,100,1,0,8,800,176,27,2,6,74884261,0,0,0,0,82642730,68951432,160933907,0,0,0,0,222523756,248123460,8184107,0,0,0,0,9870598,9894358,4804862,0,0,0,0,4485846,4267820
10,10,100,1,0,8,800,176,28,2,6,77928028,0,0,0,0,82266283,68693732,160933907,0,0,0,0,222523755,248123460,8324669,0,0,0,0,9766505,9764922,4898645,0,0,0,0,4423700,4093266
10,10,100,1,0,8,800,176,29,2,6,72956903,0,0,0,0,81470934,68405881,160933906,0,0,0,0,222523755,248123460,8178156,0,0,0,0,9612353,9709473,4771662,0,0,0,0,4424207,4084347
10,10,100,1,0,8,800,176,30,2,6,74385936,0,0,0,0,82156224,68703936,160933906,0,0,0,0,222523755,248123460,8210211,0,0,0,0,9755106,9865474,4747819,0,0,0,0,4563143,4193076
10,10,100,1,0,8,800,176,31,2,6,72646980,0,0,0,0,81887029,68704229,160933906,0,0,0,0,222523756,248123460,8142750,0,0,0,0,9709663,9762450,4781749,0,0,0,0,4385252,4105379
10,10,100,1,0,8,800,176,32,2,6,72332913,0,0,0,0,83043187,68079287,160933906,0,0,0,0,222523756,248123460,8095986,0,0,0,0,9649432,9696480,4903220,0,0,0,0,4728983,4219247
10,10,100,1,0,8,800,176,33,2,6,72478717,0,0,0,0,81723693,68539076,160933907,0,0,0,0,222523755,248123460,7999120,0,0,0,0,9737938,9848376,4844970,0,0,0,0,4401016,4184759
10,10,100,1,0,8,800,176,34,2,6,77761171,0,0,0,0,82233914,68603179,160933907,0,0,0,0,222523755,248123460,8303139,0,0,0,0,9706376,9548805,4948997,0,0,0,0,4420476,4116387
10,10,100,1,0,8,800,176,35,2,6,71169640,0,0,0,0,82693588,68890263,160933906,0,0,0,0,222523755,248123460,8291682,0,0,0,0,9786725,9881714,4746928,0,0,0,0,4525924,4216307
10,10,100,1,0,8,800,176,36,2,6,73335523,0,0,0,0,81606254,68252679,160933907,0,0,0,0,222523755,248123460,8108609,0,0,0,0,9611297,9651262,4871532,0,0,0,0,4494754,4077312
10,10,100,1,0,8,800,176,37,2,6,72953489,0,0,0,0,81301852,68121838,160933906,0,0,0,0,222523755,248123460,8001442,0,0,0,0,9666642,9731904,4851457,0,0,0,0,4359166,4077968
10,10,100,1,0,8,800,176,38,2,6,72279096,0,0,0,0,81285461,68243225,160933906,0,0,0,0,222523755,248123460,8112679,0,0,0,0,9674963,9784657,4790765,0,0,0,0,4370739,4072615
10,10,100,1,0,8,800,176,39,2,6,71650318,0,0,0,0,81015246,68350842,160933907,0,0,0,0,222523755,248123460,8231223,0,0,0,0,9648690,9730355,4786285,0,0,0,0,4262871,4074699
10,10,100,1,0,8,800,176,40,2,6,76579534,0,0,0,0,81831927,68211259,160933906,0,0,0,0,222523741,248123460,8372603,0,0,0,0,9608786,9452183,4962158,0,0,0,0,4371327,4037061
10,10,100,1,0,8,800,176,41,2,6,73133948,0,0,0,0,81842174,68444059,160933906,0,0,0,0,222523741,248123460,8091614,0,0,0,0,9641065,9759303,4771151,0,0,0,0,4377283,4069362
10,10,100,1,0,8,800,176,42,2,6,74162289,0,0,0,0,81898459,68533990,160933906,0,0,0,0,222523741,248123460,8123301,0,0,0,0,9482683,9502180,4927352,0,0,0,0,4467066,4083212
10,10,100,1,0,8,800,176,43,2,6,72186011,0,0,0,0,81074574,68130610,160933906,0,0,0,0,222523741,248123460,8275750,0,0,0,0,9546147,9709193,4760396,0,0,0,0,4374592,4009808
10,10,100,1,0,8,800,176,44,2,6,71935907,0,0,0,0,80258026,67987132,160933906,0,0,0,0,222523741,248123460,8057582,0,0,0,0,9537287,9513980,4880392,0,0,0,0,4290947,4154374
10,10,100,1,0,8,800,176,45,2,6,72956447,0,0,0,0,82829625,68179622,160933906,0,0,0,0,222523741,248123460,8166630,0,0,0,0,9638059,9644492,4839302,0,0,0,0,4360304,4077898
10,10,100,1,0,8,800,176,46,2,6,77026403,0,0,0,0,81815799,68472801,160933907,0,0,0,0,222523741,248123460,8328869,0,0,0,0,9604209,9408795,4978297,0,0,0,0,4417472,4035687
10,10,100,1,0,8,800,176,47,2,6,74284187,0,0,0,0,81202075,68272861,160933906,0,0,0,0,222523741,248123460,8088578,0,0,0,0,9533353,9713064,4939813,0,0,0,0,4418586,4126628
10,10,100,1,0,8,800,176,48,2,6,73493769,0,0,0,0,81376686,68315451,160933906,0,0,0,0,222523741,248123460,8291981,0,0,0,0,9531203,9614625,4893026,0,0,0,0,4390766,4067116
10,10,100,1,0,8,800,176,49,2,6,71790815,0,0,0,0,80648327,68205162,160933906,0,0,0,0,222523741,248123460,8113902,0,0,0,0,9467676,9551457,4921326,0,0,0,0,4435984,4026979
10,10,100,1,0,8,800,176,50,2,6,71315021,0,0,0,0,81384556,68283516,160933907,0,0,0,0,222523741,248123460,8053040,0,0,0,0,9543200,9649247,4811049,0,0,0,0,4333885,4074036
10,10,100,1,0,8,800,176,51,2,6,73046920,0,0,0,0,81157360,68640174,160933906,0,0,0,0,222523741,248123459,8104371,0,0,0,0,9563294,9649051,4910503,0,0,0,0,4309794,4026037
10,10,100,1,0,8,800,176,52,2,6,74352547,0,0,0,0,81487986,68547447,160933907,0,0,0,0,222523741,248123460,8330454,0,0,0,0,9523704,9618894,4838582,0,0,0,0,4523421,4107992
10,10,100,1,0,8,800,176,53,2,6,71537853,0,0,0,0,81682156,68370102,160933907,0,0,0,0,222523741,248123460,8141018,0,0,0,0,9563551,9557978,4737115,0,0,0,0,4402092,4133681
10,10,100,1,0,8,800,176,54,2,6,73217820,0,0,0,0,82035887,68447389,160933906,0,0,0,0,222523741,248123460,8241508,0,0,0,0,9462883,9450384,4920894,0,0,0,0,4430250,4126796
10,10,100,1,0,8,800,176,55,2,6,72555684,0,0,0,0,82214669,68146042,160933906,0,0,0,0,222523741,248123460,8158542,0,0,0,0,9539798,9535346,4871323,0,0,0,0,4402235,4129109
10,10,100,1,0,8,800,176,56,2,6,71178084,0,0,0,0,81267196,68033217,160933906,0,0,0,0,222523741,248123460,8255918,0,0,0,0,9435625,9542678,4742672,0,0,0,0,4400039,4106371
10,10,100,1,0,8,800,176,57,2,6,71293866,0,0,0,0,82019516,68134820,160933906,0,0,0,0,222523741,248123460,8193954,0,0,0,0,9488379,9552159,4769607,0,0,0,0,4386214,4067049
10,10,100,1,0,8,800,176,58,2,6,75690209,0,0,0,0,84411272,68852939,160933906,0,0,0,0,222523741,248123460,8273631,0,0,0,0,9334859,9143604,5113289,0,0,0,0,4870372,4248031
10,10,100,1,0,8,800,176,59,2,6,73146933,0,0,0,0,82174859,68360137,160933906,0,0,0,0,222523741,248123459,8019873,0,0,0,0,9616037,9666271,4850059,0,0,0,0,4408343,4053358
10,10,100,1,0,8,800,176,60,2,6,73138332,0,0,0,0,81596564,68155733,160933906,0,0,0,0,222523741,248123460,8184425,0,0,0,0,9415820,9404706,4940275,0,0,0,0,4407590,4073628
10,10,100,1,0,8,800,176,61,2,6,71267236,0,0,0,0,81026891,68237914,160933906,0,0,0,0,222523741,248123460,8044674,0,0,0,0,9382823,9404585,4920221,0,0,0,0,4420225,4125619
10,10,100,1,0,8,800,176,62,2,6,71086962,0,0,0,0,82651304,68592377,160933906,0,0,0,0,222523741,248123459,8341779,0,0,0,0,9473547,9492528,4727430,0,0,0,0,4537275,4229872
10,10,100,1,0,8,800,176,63,2,6,73914575,0,0,0,0,82355359,68538050,160933906,0,0,0,0,222523741,248123460,8030001,0,0,0,0,9357402,9342454,5092454,0,0,0,0,4666747,4166321
10,10,100,1,0,8,800,176,64,2,6,70503778,0,0,0,0,82374138,67904358,160933907,0,0,0,0,222523741,248123460,8154180,0,0,0,0,9288075,9425257,4876215,0,0,0,0,4558605,4172753
10,10,100,1,0,8,800,176,65,2,6,70845436,0,0,0,0,81669263,67810878,160933906,0,0,0,0,222523741,248123460,8229517,0,0,0,0,9400993,9461814,4784408,0,0,0,0,4483095,4214574
10,10,100,1,0,8,800,176,66,2,6,72995907,0,0,0,0,82462423,68172881,160933906,0,0,0,0,222523741,248123460,8123949,0,0,0,0,9440469,9375114,5022819,0,0,0,0,4552595,4144600
10,10,100,1,0,8,800,176,67,2,6,72199288,0,0,0,0,81773224,67969657,160933906,0,0,0,0,222523755,248123460,8247819,0,0,0,0,9425528,9459105,4756871,0,0,0,0,4458355,4162930
10,10,100,1,0,8,800,176,68,2,6,71259407,0,0,0,0,82323092,68550735,160933906,0,0,0,0,222523755,248123460,8056284,0,0,0,0,9422209,9487556,4885850,0,0,0,0,4415982,4167459
10,10,100,1,0,8,800,176,69,2,6,74376162,0,0,0,0,81967251,68230187,160933907,0,0,0,0,222523756,248123460,8023086,0,0,0,0,9376848,9349288,5123685,0,0,0,0,4492232,4142242
10,10,100,1,0,8,800,176,70,2,6,75394446,0,0,0,0,82043691,68409580,160933907,0,0,0,0,222523755,248123460,8397425,0,0,0,0,9545612,9590121,5062043,0,0,0,0,4461344,4056692
10,10,100,1,0,8,800,176,71,2,6,76792286,0,0,0,0,83241150,68704817,160933907,0,0,0,0,222523755,248123459,8338233,0,0,0,0,9562226,9515250,5048781,0,0,0,0,4563604,4115334
10,10,100,1,0,8,800,176,72,2,6,73116131,0,0,0,0,82144779,68327393,160933906,0,0,0,0,222523755,248123460,8066857,0,0,0,0,9553772,9490647,4898124,0,0,0,0,4396516,4155795
10,10,100,1,0,8,800,176,73,2,6,75188656,0,0,0,0,82500276,68831378,160933907,0,0,0,0,222523756,248123460,8261890,0,0,0,0,9359762,9244307,4968684,0,0,0,0,4686438,4179710
10,10,100,1,0,8,800,176,74,2,6,72363452,0,0,0,0,83065860,68306837,160933907,0,0,0,0,222523756,248123460,8218185,0,0,0,0,9529901,9558851,4859198,0,0,0,0,4507276,4108828
10,10,100,1,0,8,800,176,75,2,6,70979282,0,0,0,0,82466560,68667724,160933906,0,0,0,0,222523755,248123460,8226781,0,0,0,0,9387505,9466979,4755162,0,0,0,0,4502819,4151219
10,10,100,1,0,8,800,176,76,2,6,76060741,0,0,0,0,82095275,68404628,160933906,0,0,0,0,222523756,248123460,8101916,0,0,0,0,9458712,9363529,5221470,0,0,0,0,4542181,4119233
10,10,100,1,0,8,800,176,77,2,6,76001773,0,0,0,0,82528023,68451271,160933907,0,0,0,0,222523755,248123460,8226844,0,0,0,0,9508025,9434064,5013120,0,0,0,0,4462364,4194887
10,10,100,1,0,8,800,176,78,2,6,72394589,0,0,0,0,81538279,68018403,160933906,0,0,0,0,222523755,248123460,8134942,0,0,0,0,9349581,9308977,5007492,0,0,0,0,4625354,4193774
10,10,100,1,0,8,800,176,79,2,6,75939634,0,0,0,0,82147715,68687683,160933907,0,0,0,0,222523756,248123460,8439237,0,0,0,0,9506371,9461302,4950487,0,0,0,0,4562751,4133431
10,10,100,1,0,8,800,176,80,2,6,72155613,0,0,0,0,81781963,68112008,160933906,0,0,0,0,222523755,248123460,8200976,0,0,0,0,9337198,9322639,4944558,0,0,0,0,4506832,4062138
10,10,100,1,0,8,800,176,81,2,6,72276940,0,0,0,0,83600498,68702197,160933906,0,0,0,0,222523756,248123460,8290772,0,0,0,0,9278246,9353104,4881858,0,0,0,0,4671865,4265158
10,10,100,1,0,8,800,176,82,2,6,74862348,0,0,0,0,81605805,68559349,160933907,0,0,0,0,222523755,248123460,8178357,0,0,0,0,9452495,9384268,5067097,0,0,0,0,4531300,4142914
10,10,100,1,0,8,800,176,83,2,6,70883807,0,0,0,0,81433130,68464816,160933906,0,0,0,0,222523755,248123460,8037183,0,0,0,0,9387136,9513446,4954298,0,0,0,0,4514697,4134227
10,10,100,1,0,8,800,176,84,2,6,72184714,0,0,0,0,81848825,68363221,160933906,0,0,0,0,222523755,248123460,7957562,0,0,0,0,9312005,9356992,5175512,0,0,0,0,4567224,4166700
