repeats,epochs,batch,output_dims,output_model,tasks,height,width,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,1,0,4,100,408,13,16848084,17331274,17213688,18872341,16026029,19037915,16497705,40456903,44241197,50366395,47073323,53073307,48478767,54478537,1910914,2490578,2471284,2523837,2400623,2514393,2437893,383619,269035,239979,268821,248666,276428,256018
10,10,100,1,0,4,100,412,13,17070113,17659029,17614417,19138572,16055579,19284037,16550370,39856903,43641197,49766395,46473323,52473307,47878767,53878537,2073345,2585433,2564925,2603617,2478874,2618630,2516934,396200,273834,241444,273733,247841,277598,255411
10,10,100,1,0,4,100,416,13,17097550,17883445,17437475,19191295,16186671,19318169,16765254,41156833,44941127,51066325,47773253,53773237,49178697,55178467,1989011,2465598,2461367,2492741,2359046,2484484,2385994,399985,277707,251204,278057,257757,283881,261975
10,10,100,1,0,4,100,420,14,17070727,17747809,17641970,19031926,16404955,19168136,17355015,40553473,44337767,50862965,47169893,53569877,48575337,54975107,2026537,2560008,2486481,2572824,2381017,2559845,2415403,411756,287081,255216,286549,261082,294721,268923
10,10,100,1,0,4,100,424,14,17875842,18740036,18523211,20305875,16686928,20399057,17171041,41856903,45641197,52166395,48473323,54873307,49878767,56278537,2112286,2691343,2663355,2715696,2586104,2708943,2609851,417614,306351,255093,305603,268322,311081,273562
10,10,100,1,0,4,100,428,14,17613736,18461106,18085139,19938534,18367701,20189039,17176006,41256903,45041197,51566395,47873323,54273307,49278767,55678537,2088677,2770615,2684753,2806219,2610365,2790248,2655672,424934,312269,257895,311200,270941,320061,276240
10,10,100,1,0,4,100,432,14,18099966,18996953,18676367,20547598,16924667,20701324,17419964,42556833,46341127,52866325,49173253,55573237,50578697,56978466,2147379,2671395,2674007,2710007,2587852,2695982,2615246,423127,306924,269850,311187,281024,315583,286717
10,10,100,1,0,4,100,436,14,18219771,19187316,18533003,20788283,18830717,20963370,17562380,41953473,45737767,52262965,48569893,54969877,49975338,56375106,2108848,2647973,2587152,2676551,2488462,2663885,2534577,439729,321201,279155,325570,291473,329169,295772
10,10,100,1,0,4,100,440,14,18203811,18942008,18688793,20612965,17210975,20698833,17750458,43256903,47041197,53566395,49873323,56273307,51278768,57678536,2157389,2701423,2587674,2734217,2513075,2725718,2538851,444211,327878,279292,331747,289811,339400,298070
10,10,100,1,0,4,100,444,14,19013506,19950044,19015347,21256237,19310308,21514177,17894240,42656903,46441197,52966395,49273323,55673307,50678768,57078536,2135664,2769826,2661375,2782601,2560949,2770921,2595591,468867,346835,300771,348632,313665,357300,320785
10,10,100,1,0,4,100,448,14,18742240,19537357,18838050,21217021,17429160,21611456,17945265,43956833,47741127,54266325,50573253,56973237,51978698,58378466,2157914,2711403,2684275,2747590,2588697,2738633,2624278,460769,342444,300949,343227,311537,352869,319573
10,10,100,1,0,4,100,452,15,19536200,20549982,19826555,22910404,18366101,22671237,18210579,43353473,47137767,54062965,49969893,56769877,51375338,58175106,2283518,2923303,2830606,2974865,2780909,2961193,2801538,504987,397258,326335,439259,347149,406555,351425
10,10,100,1,0,4,100,456,15,19423877,20496192,19672467,22244450,18317467,22253530,19205273,44656903,48441197,55366395,51273323,58073307,52678768,59478536,2220318,2797493,2722772,2815820,2641533,2818721,2659483,495979,383126,325079,391156,337230,393452,349832
10,10,100,1,0,4,100,460,15,19590092,20831450,19785030,22681799,17963987,22929144,18521674,44056903,47841197,54766395,50673323,57473307,52078768,58878536,2230402,2920702,2807568,2952854,2744467,2959271,2782071,513546,418238,337623,415580,358078,429010,366180
10,10,100,1,0,4,100,464,15,19506659,20522807,19796710,21986950,18512228,22082987,18543489,45356833,49141127,56066325,51973253,58773237,53378698,60178466,2276343,2977217,2884640,3004187,2833279,3002263,2863738,498918,400128,325813,392262,346057,403430,350887
10,10,100,1,0,4,100,468,15,19852575,20976903,20310078,23205112,18172813,23021854,18771833,44753473,48537767,55462965,51369893,58169877,52775337,59575107,2397388,3117598,2985550,3172359,2960622,3144256,2997639,517236,412664,321854,414274,343914,420557,350392
10,10,100,1,0,4,100,472,15,20419570,21424693,20333254,23176734,18460353,23183715,19035727,46056903,49841197,56766395,52673323,59473307,54078768,60878537,2298095,3084915,3006054,3116867,2950644,3102642,2978465,531628,422802,341213,428027,361898,430246,370590
10,10,100,1,0,4,100,476,15,20222365,21350213,20214191,22875443,18433578,23553534,19041159,45456903,49241197,56166395,52073323,58873307,53478767,60278537,2346410,3145732,3029311,3182265,2963974,3160420,2994568,530288,425002,339926,424554,359606,435722,367877
10,10,100,1,0,4,100,480,15,20954175,22244082,20728587,23906019,18802292,23988623,19727814,46756833,50541127,57466325,53373253,60173237,54778698,61578467,2303782,3001784,2910517,3037573,2819925,3028414,2847673,518506,423903,346835,427424,359985,432603,364856
10,10,100,1,0,4,100,484,16,21365989,22849236,21564243,24469760,21239867,25066701,19721929,46153473,49937767,57262965,52769893,59969877,54175338,61375107,2469066,3224804,3059633,3251400,2998679,3253584,3042426,561784,477059,365880,481989,391280,489478,394151
10,10,100,1,0,4,100,488,16,21541094,23130067,21438174,24895022,19651508,25348756,19786457,47456903,51241197,58566395,54073323,61273307,55478768,62678537,2396591,3117222,2967384,3151378,2920297,3140511,2967935,589659,514113,384004,523409,409208,557123,416457
10,10,100,1,0,4,100,492,16,21671948,23460517,21688562,25366824,20605910,25564956,19936810,46856903,50641197,57966395,53473323,60673307,54878768,62078537,2481992,3251453,3179293,3279003,3113102,3282292,3148943,578574,495812,388484,497410,404647,505642,407177
10,10,100,1,0,4,100,496,16,22102930,23800999,21720752,25344485,19521762,25556983,20149712,48156833,51941127,59266325,54773253,61973237,56178698,63378466,2406689,3285736,3143720,3332886,3103970,3321198,3132603,571175,486671,375822,486761,393617,495414,400993
10,10,100,1,0,4,100,500,16,22377671,23934483,22234482,26320366,20972870,26088496,20361249,47553473,51337767,58662965,54169894,61369877,55575338,62775106,2524455,3330716,3194517,3353508,3124384,3360092,3163004,582188,513496,394543,506611,417371,523083,420504
10,10,100,1,0,4,100,504,16,22288019,24276831,22218978,25810467,19903135,25936790,20604652,48856903,52641197,59966395,55473323,62673307,56878768,64078537,2481115,3310190,3098010,3344273,3039627,3339083,3063979,606116,540057,397636,535440,423919,545820,431870
10,10,100,1,0,4,100,508,16,22582671,24161927,22610953,25750742,22018882,26316630,21792087,48256903,52041197,59366395,54873323,62073307,56278768,63478536,2620012,3422650,3281878,3452163,3242681,3443585,3273709,619157,565401,432416,564913,457924,573811,531850
10,10,100,1,0,4,100,512,16,22531642,24130982,22258698,25825106,20008974,25846266,21172530,49556833,53341127,60666325,56173253,63373237,57578698,64778466,2528976,3219594,3151107,3264063,3101876,3255480,3139365,636114,566220,456071,579921,474838,585249,486624
10,10,100,1,0,4,100,516,17,22976834,24736522,23296677,26278897,21037133,26593346,23665844,48953473,52737767,60462965,55569893,63169877,56975338,64575107,2682797,3468757,3252037,3488806,3199445,3490711,3240987,643874,584555,445054,582645,470379,599020,482198
10,10,100,1,0,4,100,520,17,23019652,25043723,22889203,26692749,20951501,26756332,23255836,50256903,54041197,61766395,56873323,64473307,58278768,65878536,2557679,3279267,3135439,3316298,3074325,3298133,3097801,646702,572816,437797,575954,464559,582728,467100
10,10,100,1,0,4,100,524,17,23762692,25814182,23742936,27348811,23226061,28471728,23876484,49656903,53441198,61166395,56273324,63873307,57678768,65278537,2690159,3614072,3407069,3636566,3364239,3625895,3395489,666247,643274,478155,650932,504904,649180,510225
10,10,100,1,0,4,100,528,17,23743072,26329263,23584380,27737760,23108523,27654452,23640741,50956833,54741128,62466325,57573254,65173237,58978698,66578467,2613224,3510298,3316178,3550606,3296417,3540712,3336455,672388,655048,490126,651637,510113,662571,518723
10,10,100,1,0,4,100,532,17,24522546,26656426,24387665,28156959,23573030,28730617,23655205,50353473,54137768,61862965,56969893,64569877,58375338,65975107,2734407,3732760,3493871,3769469,3509284,3761294,3555137,709291,688781,510493,694533,532153,698064,539112
10,10,100,1,0,4,100,536,17,24073022,25936912,24039847,27741906,23297835,27725136,23819217,51656903,55441197,63166395,58273323,65873307,59678768,67278537,2692243,3489025,3248618,3519279,3196812,3511313,3222496,699125,678266,493935,692647,527207,692526,533491
10,10,100,1,0,4,100,540,17,24366134,26258699,24143793,27843888,23006106,27903943,23645028,51056903,54841198,62566395,57673324,65273307,59078768,66678537,2695156,3548909,3284642,3583439,3237404,3583697,3284953,717762,717912,518333,716334,549388,725694,554212
10,10,100,1,0,4,100,544,17,24959431,27103016,24426512,28779192,23600916,28772435,23439722,52356833,56141128,63866325,58973254,66573237,60378698,67978467,2653752,3475258,3306789,3499691,3250009,3490523,3297652,721713,710041,543913,712313,572196,713989,576845
10,10,100,1,0,4,100,548,18,25146421,27135991,24867335,29168391,23127873,28954669,22569297,51753473,55537767,63662965,58369894,66369877,59775338,67775107,2753570,3759346,3427291,3784510,3409180,3774422,3450748,754780,746478,543119,754614,569453,754951,573812
10,10,100,1,0,4,100,552,18,25347383,27671319,25172721,29160849,23531776,29270930,24044834,53056903,56841198,64966395,59673323,67673307,61078768,69078537,2730748,3546940,3313594,3588992,3300614,3575202,3322893,754687,734883,547906,723098,564127,736785,573248
