repeats,epochs,batch,output_dims,output_model,tasks,height,width,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,1,0,2,80,4,1,1047259,1499479,1789369,2282021,2722329,2450697,2670635,2293472,5310949,6391413,7482159,8442159,8683601,9643396,3373,3649,3565,3758,3833,10209,10386,2655,2863,2818,2977,2963,6496,6404
10,10,100,1,0,2,80,8,1,1397366,1879087,2097447,2380859,2908794,2730995,2942718,3333472,6350949,7431413,8522159,9482159,9723601,10683396,7650,7221,7523,8201,8150,16607,16837,4318,4451,4375,4624,4570,8129,7998
10,10,100,1,0,2,80,12,1,1494009,1957590,2182443,2766742,3338774,2960859,3149682,3893472,7150949,8231413,9322159,10282159,10523601,11483396,21481,21467,21143,21921,22424,32397,34021,5637,5758,5696,5876,5741,9382,9205
10,10,100,1,0,2,80,16,1,1833047,2223055,2452961,3038895,3608325,3255126,3422645,4933472,8190949,9271413,10362159,11322159,11563602,12523396,52819,50747,49062,51129,51262,58732,59080,7301,7465,7336,7558,7398,11174,11059
10,10,100,1,0,2,80,20,1,1767091,2140533,2369049,2970311,3614413,3103136,3450120,4453472,7710949,8791413,9882159,10842159,11083601,12043396,68609,66658,67585,68332,68993,77503,78716,8858,9094,9130,9149,9126,12827,12689
10,10,100,1,0,2,80,24,1,2066448,2446437,2665080,3277709,3896801,3433975,3646484,5493472,8750949,9831413,10922159,11882159,12123602,13083396,88934,86999,87478,88520,94556,95880,102166,10799,10938,10700,10937,10854,14598,14427
10,10,100,1,0,2,80,28,1,2069723,2313703,2583094,3262100,3883969,3283161,3850931,5013472,8270949,9351413,10442159,11402159,11643601,12603396,112134,110709,112817,113401,119737,120026,128756,12890,13018,12728,13296,12956,17002,16820
10,10,100,1,0,2,80,32,1,2778455,2706698,2831269,3571146,4161453,3680440,3903384,6053472,9310949,10391413,11482159,12442159,12683602,13643396,133370,130507,130018,130943,137963,138012,143963,14548,14607,14407,14663,14426,18631,18342
10,10,100,1,0,2,80,36,2,2316909,2527635,2774244,3576881,4006138,3470275,3812075,5573472,8830949,10231413,11002159,12282159,12203601,13483396,145058,144158,144804,145912,151630,153459,154835,17145,17445,17220,17601,17348,21378,20882
10,10,100,1,0,2,80,40,2,2573453,2804847,3003432,3873054,4286088,3814933,4074781,6613472,9870949,11271413,12042159,13322159,13243601,14523396,176370,169970,166693,168257,173308,174995,176608,20059,20184,19755,20311,19818,24292,23860
10,10,100,1,0,2,80,44,2,2692100,2689653,2889244,3872401,4302220,3670043,4030731,6133472,9390949,10791413,11562159,12842159,12763601,14043396,181186,180347,182053,184037,192559,191122,195782,21484,21514,21028,21673,21043,25756,25442
10,10,100,1,0,2,80,48,2,2966352,3066631,3202934,4194935,4588569,4022251,4319904,7173472,10430949,11831413,12602159,13882159,13803601,15083396,201828,198718,199860,200138,209819,209622,215638,24597,24059,23847,24185,24080,28337,28077
10,10,100,1,0,2,80,52,2,2811157,2931166,3186336,4191159,4599045,3878852,4248529,6693472,9950949,11351413,12122159,13402159,13323601,14603396,217139,214504,216241,216567,227091,224027,233634,25323,25395,24886,25486,25046,29708,29412
10,10,100,1,0,2,80,56,2,3142799,3199605,3334521,4456073,4847616,4146024,4507732,7733472,10990949,12391413,13162159,14442159,14363602,15643397,234101,233290,235603,235542,247685,243576,253719,28922,29222,29214,29833,29357,34064,33860
10,10,100,1,0,2,80,60,2,3041828,3150802,3396407,4500959,4911125,4095681,4451893,7253472,10510949,11911413,12682159,13962159,13883602,15163396,245384,245183,250213,248258,261631,255111,269062,31531,31420,30734,31528,31119,35836,35427
10,10,100,1,0,2,80,64,2,3719095,3424939,3508044,4776653,5109363,4382636,4692024,8293472,11550949,12951413,13722159,15002159,14923601,16203396,259987,257042,257487,256815,269135,264170,273758,33480,33548,32636,33707,32455,37856,36823
10,10,100,1,0,2,80,68,3,3330988,3439854,3645178,4825751,5204923,4374370,4859920,7813472,11070949,12791413,13242159,14842159,14443601,16043396,276229,276763,281764,280382,289597,287487,294927,37542,38347,37780,38435,37698,42939,41707
10,10,100,1,0,2,80,72,3,3655040,3611039,3806096,5034992,5409962,4564182,4987498,8853472,12110949,13831413,14282159,15882159,15483602,17083396,298424,299825,303413,302154,312929,309374,318864,42284,39817,39033,40444,39234,44699,43427
10,10,100,1,0,2,80,76,3,3414202,3512701,3822683,5028113,5420923,4491699,5091879,8373472,11630949,13351413,13802159,15402159,15003602,16603396,308133,308369,313459,311653,323149,318537,330072,43517,43047,42004,43882,42455,48654,46833
10,10,100,1,0,2,80,80,3,3985740,3953576,4102090,5440226,5747133,4914763,5270732,9413472,12670949,14391413,14842159,16442159,16043601,17643396,318053,321745,326985,325367,340134,331473,345904,47498,45752,45111,46221,44646,50485,48791
10,10,100,1,0,2,80,84,3,3779634,3875556,4129919,5446478,5813974,4820558,5397291,8933472,12190949,13911413,14362159,15962159,15563601,17163396,326820,331933,341811,335871,352637,341511,359685,49447,49440,48504,49680,48406,54216,52677
10,10,100,1,0,2,80,88,3,3994871,4061174,4342916,5661392,5999010,5027515,5555281,9973472,13230949,14951413,15402159,17002159,16603602,18203396,346596,350382,359752,353595,372551,360271,379004,50295,49986,48883,50567,48974,55064,53530
10,10,100,1,0,2,80,92,3,3826598,3984388,4362656,5670785,6042323,4922297,5562993,9493472,12750949,14471413,14922159,16522159,16123602,17723396,356846,364231,373249,371113,380153,374799,387181,53342,52557,51513,53004,52029,57976,56275
10,10,100,1,0,2,80,96,3,4571981,4326968,4523550,5978069,6264422,5273627,5725903,10533472,13790949,15511413,15962159,17562159,17163601,18763397,386358,388966,397351,392267,409895,398495,415849,57493,57128,55501,57759,55734,62459,59937
10,10,100,1,0,2,80,100,4,4078525,4224612,4672437,5993314,6307745,5365071,5773438,10053472,13310949,15351413,15482159,17402159,16683602,18603396,370568,383427,384016,389725,391695,389889,392378,58936,58601,56968,59429,57320,64116,61655
10,10,100,1,0,2,80,104,4,4424215,4461979,4804484,6246832,6543886,5401933,6026333,11093472,14350949,16391413,16522159,18442159,17723601,19643397,408378,414706,422600,419541,430774,424838,437850,64893,64849,63002,65287,62652,69849,66899
10,10,100,1,0,2,80,108,4,4370049,4484347,4969315,6310048,6599074,5418176,5975648,10613472,13870949,15911413,16042159,17962159,17243601,19163396,415836,422811,431110,429285,439895,434340,447569,65713,65460,63812,65841,63871,70787,68066
10,10,100,1,0,2,80,112,4,4758945,4803201,5167469,6689000,6824263,5876957,6213791,11653472,14910949,16951413,17082159,19002159,18283602,20203396,422972,434104,435223,438420,445869,443448,451061,68568,67869,66527,68383,66554,73218,70492
10,10,100,1,0,2,80,116,4,4530667,4693682,5142902,6599621,6850034,5646191,6186945,11173472,14430949,16471413,16602159,18522159,17803602,19723397,447866,458019,468139,465648,475478,466796,483091,74599,73658,72114,74428,71759,79444,75690
10,10,100,1,0,2,80,120,4,4836660,5090514,5246596,7024760,7148816,6063678,6436621,12213472,15470949,17511413,17642159,19562159,18843602,20763396,459329,471059,485874,477283,496609,481526,504209,76134,75579,74155,76248,74317,81182,78975
10,10,100,1,0,2,80,124,4,4725717,4757225,5266224,7130207,7102360,5703617,6458055,11733472,14990949,17031413,17162159,19082159,18363602,20283396,475731,494634,508875,508852,519170,502122,525811,77904,76847,75106,78057,75595,82650,79877
10,10,100,1,0,2,80,128,4,5356226,5131833,5403368,7111161,7302525,6355246,6566157,12773472,16030949,18071413,18202159,20122159,19403602,21323397,493194,508964,517143,517302,532036,518838,537003,84736,83512,81097,83914,80362,89263,84913
10,10,100,1,0,2,80,132,5,5048190,5194390,5643806,7174639,7407360,6103008,6607443,12293472,15550949,17911413,17722159,19962159,18923602,21163396,492342,514329,514759,527492,523427,523388,531555,82496,81824,79636,82973,79308,87929,83152
10,10,100,1,0,2,80,136,5,5365602,5307372,5783652,7451404,7637446,6361376,6841126,13333472,16590949,18951413,18762159,21002159,19963602,22203397,506607,523802,522950,537146,532835,530559,537993,85313,84701,82424,85495,81598,90507,86013
10,10,100,1,0,2,80,140,5,5220755,5382499,5841277,7508367,7708636,6370240,6844951,12853472,16110949,18471413,18282159,20522159,19483602,21723397,537238,549614,551875,565069,558366,557439,566045,91130,88391,86075,88583,84963,94438,89472
10,10,100,1,0,2,80,144,5,5532798,5557789,5979451,7757849,7872541,6681589,7019875,13893472,17150949,19511413,19322159,21562159,20523602,22763397,538704,553505,554007,570562,565186,560850,570646,94832,93651,90530,94471,89808,99091,93764
10,10,100,1,0,2,80,148,5,5523093,5442286,5965725,7704656,7904786,6506609,6970794,13413472,16670949,19031413,18842159,21082159,20043602,22283396,572413,587339,597211,604487,606153,594452,614290,100209,93181,90885,94416,90823,99832,95056
10,10,100,1,0,2,80,152,5,5502974,5576685,6099270,7936392,8148764,6748242,7177053,14453472,17710949,20071413,19882159,22122159,21083602,23323396,603496,616303,628082,635855,646812,626400,651187,102069,99689,96962,101458,96515,106711,100580
10,10,100,1,0,2,80,156,5,5676204,5756936,6217964,8095756,8205815,6960832,7207286,13973472,17230949,19591413,19402159,21642159,20603602,22843396,588229,610037,622769,636264,631760,618301,640155,103301,101364,98908,102384,97947,107183,102117
10,10,100,1,0,2,80,160,5,6150175,5981038,6332740,8372065,8505782,7163307,7356346,15013472,18270949,20631413,20442159,22682159,21643601,23883396,618223,635074,640342,655981,656427,644192,663154,114662,106861,103829,108848,102853,113553,106756
10,10,100,1,0,2,80,164,6,5883477,5902531,6452630,8364131,8449335,7069514,7384932,14533472,17790949,20471413,19962159,22522159,21163602,23723396,633413,647762,641764,672795,651098,652016,660517,113019,112516,108665,113984,106863,118450,110882
10,10,100,1,0,2,80,168,6,6129234,6186739,6631450,8756750,8713451,7391790,7605625,15573472,18830949,21511413,21002159,23562159,22203602,24763397,633684,656949,658756,679969,672463,662581,678369,111562,109661,106321,111698,105586,115787,109158
10,10,100,1,0,2,80,172,6,6136361,6123825,6657112,8762507,8740431,7331968,7623756,15093472,18350949,21031413,20522159,23082159,21723602,24283397,643091,669047,666718,702333,671390,673810,678603,117641,111320,108111,113500,107529,117313,111197
10,10,100,1,0,2,80,176,6,6440839,6512969,6872625,9266921,8927842,7755508,7782491,16133472,19390949,22071413,21562159,24122159,22763602,25323396,668343,684042,687374,713851,700474,689580,704271,120964,118793,115394,120921,113423,125169,117553
10,10,100,1,0,2,80,180,6,6331187,6365967,6853946,9095226,8975171,7611350,7792480,15653472,18910949,21591413,21082159,23642159,22283602,24843397,680256,706271,710958,738244,721443,713415,731559,117495,116162,112401,117867,111523,122428,115706
10,10,100,1,0,2,80,184,6,6636059,6534356,7002099,9329279,9208831,7749327,7992566,16693472,19950949,22631413,22122159,24682159,23323602,25883396,699434,723832,732988,758521,744539,730239,752089,131167,128191,122982,129891,121323,135375,125439
10,10,100,1,0,2,80,188,6,6301719,6521286,7048907,9383459,9243797,7731171,7987222,16213472,19470949,22151413,21642159,24202159,22843602,25403396,698428,719662,724648,761571,732265,722961,734901,128287,125980,121797,127762,120401,132920,124488
10,10,100,1,0,2,80,192,6,7039390,6932590,7240457,9658730,9440621,8138288,8157364,17253472,20510949,23191413,22682159,25242159,23883602,26443396,724181,754746,760836,790679,770597,758392,776784,129060,127029,121619,128296,119858,132905,123923
10,10,100,1,0,2,80,196,7,6569669,6733632,7257400,9649625,9497915,7955370,8183768,16773472,20030949,23031413,22202159,25082159,23403602,26283396,729675,755010,741678,798404,739270,759277,748151,141448,131526,126260,133621,125538,137716,129272
10,10,100,1,0,2,80,200,7,6891151,7114929,7500151,10030373,9727514,8361957,8389613,17813472,21070949,24071413,23242159,26122159,24443602,27323397,745306,768358,770975,807601,776109,774613,783970,135689,133635,127478,135815,125606,140167,129088
10,10,100,1,0,2,80,204,7,6763708,6833252,7465548,9850219,9746345,8096870,8360893,17333472,20590949,23591413,22762159,25642159,23963602,26843396,783472,820681,820786,869974,828965,825404,835522,146823,143224,136671,146060,135151,150631,138948
10,10,100,1,0,2,80,208,7,7127417,7298669,7681033,10272355,9976434,8530710,8566625,18373472,21630949,24631413,23802159,26682159,25003602,27883396,770832,804173,809893,845893,819462,809710,825462,144341,142799,136498,144878,134447,149065,138483
10,10,100,1,0,2,80,212,7,7101977,7324509,7906496,10392776,10033802,8565052,8596403,17893472,21150949,24151413,23322159,26202159,24523602,27403397,806931,826404,828811,875876,836515,832859,845706,152106,149221,142840,152954,142787,157603,145186
10,10,100,1,0,2,80,216,7,7439725,7657969,8181250,10672663,10272631,8920609,8777784,18933472,22190949,25191413,24362159,27242159,25563602,28443396,794698,833244,843967,883687,852921,841262,859936,146632,141710,135169,143621,133206,147752,137856
10,10,100,1,0,2,80,220,7,7408679,7641041,8055628,10749296,10336209,8922716,8974828,18453472,21710949,24711413,23882159,26762159,25083602,27963397,817031,848519,855497,907154,857318,855763,870294,161543,158608,149118,161574,147598,168497,152394
10,10,100,1,0,2,80,224,7,7813671,7849575,8077344,10899304,10780539,9031038,8936403,19493472,22750949,25751413,24922159,27802159,26123602,29003397,826158,854347,860305,907964,864860,862757,875344,162489,155010,147707,157373,145918,161532,149582
10,10,100,1,0,2,80,228,8,7698149,7969047,8280737,11100507,10613418,9213410,9110755,19013472,22270949,25591413,24442159,27642159,25643602,28843396,842341,878578,870671,932832,872093,880563,882607,173081,168162,156933,171596,155986,175311,158222
10,10,100,1,0,2,80,232,8,7638907,7920433,8353209,11071423,10794805,9036409,9197243,20053472,23310949,26631413,25482159,28682159,26683602,29883397,871236,908999,916828,968744,919878,919352,931214,166259,162102,153120,164778,152095,168338,156234
10,10,100,1,0,2,80,236,8,7604487,8081470,8360491,11157879,10951859,9095700,9252080,19573472,22830949,26151413,25002159,28202159,26203602,29403397,896808,930839,928065,990196,929913,941195,941624,174287,170485,161223,173155,158359,176879,161536
10,10,100,1,0,2,80,240,8,7842294,8205771,8587069,11408162,11037644,9500673,9380316,20613472,23870949,27191413,26042159,29242159,27243602,30443397,914109,948489,949611,1013341,956084,957411,963014,169632,168826,157135,171800,154405,174743,158240
10,10,100,1,0,2,80,244,8,7841561,8239344,8577822,11485455,11087225,9343000,9453843,20133472,23390949,26711413,25562159,28762160,26763602,29963397,892358,931811,921346,1012274,912060,943412,926543,175746,171936,161297,175233,159736,179701,163536
10,10,100,1,0,2,80,248,8,8176983,8414461,8749757,11701995,11301376,9534525,9571003,21173472,24430949,27751413,26602159,29802159,27803602,31003396,928526,952697,960049,1018930,962505,962936,971665,178181,175648,165437,178179,165396,182393,167829
10,10,100,1,0,2,80,252,8,8077353,8390975,8778457,12351233,11366283,9473759,9657700,20693472,23950949,27271413,26122159,29322159,27323602,30523396,955995,1000713,1002150,1079615,1006634,1012410,1015576,196236,186750,176266,190782,174556,193719,177761
10,10,100,1,0,2,80,256,8,8342992,8485884,8830311,11886551,11501074,9673891,9715736,21733472,24990949,28311413,27162159,30362159,28363602,31563397,965107,1012118,1015986,1086807,1018202,1021780,1023132,186564,182981,170889,186212,169898,189800,172531
10,10,100,1,0,2,80,260,9,8140009,8692852,8967992,12019332,11617251,9852362,10052399,21253472,24510949,28151413,26682159,30202159,27883602,31403397,962852,999632,977613,1078484,971036,1011594,982597,190394,186525,173523,188674,173230,191914,176407
10,10,100,1,0,2,80,264,9,8764945,9155128,9346522,12533547,11926275,10282549,10067640,22293472,25550949,29191413,27722159,31242159,28923602,32443397,967913,1008567,999136,1088604,1001219,1017609,1009586,193018,187121,176008,189458,174269,194032,178681
10,10,100,1,0,2,80,268,9,8446374,8815750,9233525,12344405,11927727,9907685,10098784,21813472,25070949,28711413,27242159,30762159,28443602,31963397,994198,1034404,1008184,1112471,1000974,1046006,1010207,207730,200203,186841,204471,186635,207357,189446
10,10,100,1,0,2,80,272,9,8753559,9219170,9464537,12740881,12186411,11222534,10240868,22853472,26110949,29751413,28282159,31802159,29483602,33003397,1027654,1070256,1062757,1136902,1066919,1083764,1075506,211935,210031,190534,212547,191546,215639,192373
10,10,100,1,0,2,80,276,9,10224519,9360891,9481468,12855582,12156759,10453409,10331123,22373472,25630949,29271413,27802160,31322159,29003602,32523397,1055313,1089653,1080582,1173557,1080512,1099418,1093055,224384,215066,197969,219078,198967,222111,202875
