repeats,epochs,batch,output_dims,output_model,tasks,height,width,clustering,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,1,0,8,800,176,22,2,6,76684311,0,0,0,0,84594806,69627198,125745117,0,0,0,0,195237257,233637047,8369830,0,0,0,0,9974853,10256379,4726053,0,0,0,0,4888700,4454316
10,10,100,1,0,8,800,176,23,2,6,77838551,0,0,0,0,82140647,68033602,125745117,0,0,0,0,195237256,233637047,8068182,0,0,0,0,9586982,9700779,4962243,0,0,0,0,4601164,4178790
10,10,100,1,0,8,800,176,24,2,6,76217998,0,0,0,0,83754109,68768527,125745117,0,0,0,0,195237257,233637047,7966221,0,0,0,0,9768091,9871441,4746486,0,0,0,0,4796106,4490884
10,10,100,1,0,8,800,176,25,2,6,74804077,0,0,0,0,82266054,68340696,125745116,0,0,0,0,195237256,233637047,8192681,0,0,0,0,9857407,9885386,4587059,0,0,0,0,4632013,4392972
10,10,100,1,0,8,800,176,26,2,6,74488545,0,0,0,0,82418695,68318545,125745116,0,0,0,0,195237256,233637047,8285777,0,0,0,0,9781191,9861289,4606494,0,0,0,0,4623507,4324272
10,10,100,1,0,8,800,176,27,2,6,75494174,0,0,0,0,82500162,68389804,125745116,0,0,0,0,195237256,233637047,8340577,0,0,0,0,9676157,9756621,4607906,0,0,0,0,4615482,4277797
10,10,100,1,0,8,800,176,28,2,6,74955736,0,0,0,0,81371775,68014180,125745117,0,0,0,0,195237256,233637047,8249292,0,0,0,0,9732185,9817332,4683081,0,0,0,0,4435736,4227505
10,10,100,1,0,8,800,176,29,2,6,75085405,0,0,0,0,81955097,68292782,125745116,0,0,0,0,195237256,233637047,8275496,0,0,0,0,9596300,9688118,4602271,0,0,0,0,4564050,4241406
10,10,100,1,0,8,800,176,30,2,6,74726215,0,0,0,0,81338157,68247045,125745116,0,0,0,0,195237256,233637047,8193153,0,0,0,0,9708211,9796139,4775259,0,0,0,0,4350929,4135617
10,10,100,1,0,8,800,176,31,2,6,74015971,0,0,0,0,81348341,67964018,125745116,0,0,0,0,195237256,233637047,8263802,0,0,0,0,9526024,9609168,4709654,0,0,0,0,4458605,4150019
10,10,100,1,0,8,800,176,32,2,6,76688623,0,0,0,0,83008170,67337686,125745116,0,0,0,0,195237257,233637047,8315981,0,0,0,0,9537815,9476053,4947999,0,0,0,0,4517045,4149108
10,10,100,1,0,8,800,176,33,2,6,74409050,0,0,0,0,81063859,68007990,125745117,0,0,0,0,195237256,233637047,8153853,0,0,0,0,9660470,9698733,4751279,0,0,0,0,4463752,4291351
10,10,100,1,0,8,800,176,34,2,6,76547475,0,0,0,0,81819855,67903952,125745117,0,0,0,0,195237256,233637047,8143230,0,0,0,0,9676560,9653815,4937149,0,0,0,0,4363178,4083227
10,10,100,1,0,8,800,176,35,2,6,73278717,0,0,0,0,81271905,68019443,125745116,0,0,0,0,195237256,233637047,8258126,0,0,0,0,9699611,9805368,4764538,0,0,0,0,4446915,4199096
10,10,100,1,0,8,800,176,36,2,6,74915674,0,0,0,0,81519470,67629586,125745116,0,0,0,0,195237256,233637047,8303611,0,0,0,0,9582170,9624513,4734781,0,0,0,0,4353754,4148962
10,10,100,1,0,8,800,176,37,2,6,73724775,0,0,0,0,80631349,67722925,125745116,0,0,0,0,195237256,233637047,8158810,0,0,0,0,9587881,9747964,4837048,0,0,0,0,4369018,4078011
10,10,100,1,0,8,800,176,38,2,6,73933618,0,0,0,0,80482533,67553783,125745116,0,0,0,0,195237256,233637047,8296225,0,0,0,0,9622314,9618163,4714406,0,0,0,0,4330970,4096336
10,10,100,1,0,8,800,176,39,2,6,74389208,0,0,0,0,80489237,67949504,125745117,0,0,0,0,195237256,233637047,8184569,0,0,0,0,9568041,9699924,4846741,0,0,0,0,4332534,4149016
10,10,100,1,0,8,800,176,40,2,6,74098112,0,0,0,0,80427220,67654185,125745117,0,0,0,0,195237256,233637047,8295132,0,0,0,0,9640574,9724415,4618159,0,0,0,0,4311501,4131525
10,10,100,1,0,8,800,176,41,2,6,72212208,0,0,0,0,79991959,67608004,125745117,0,0,0,0,195237256,233637047,8257756,0,0,0,0,9428543,9558465,4819204,0,0,0,0,4195698,3951407
10,10,100,1,0,8,800,176,42,2,6,76572063,0,0,0,0,82837751,68158934,125745117,0,0,0,0,195237256,233637047,8167995,0,0,0,0,9466893,9425381,5040922,0,0,0,0,4439395,3995337
10,10,100,1,0,8,800,176,43,2,6,74842437,0,0,0,0,81142549,67431220,125745116,0,0,0,0,195237256,233637047,8224832,0,0,0,0,9444082,9472769,4757691,0,0,0,0,4421334,4096333
10,10,100,1,0,8,800,176,44,2,6,74201137,0,0,0,0,80862818,67659261,125745116,0,0,0,0,195237256,233637047,8244304,0,0,0,0,9480997,9512188,4833215,0,0,0,0,4291415,4056196
10,10,100,1,0,8,800,176,45,2,6,75295696,0,0,0,0,83382158,67953160,125745116,0,0,0,0,195237256,233637047,8223877,0,0,0,0,9435055,9396959,5114781,0,0,0,0,4579134,4044094
10,10,100,1,0,8,800,176,46,2,6,75602773,0,0,0,0,82278009,67845160,125745117,0,0,0,0,195237256,233637047,8294507,0,0,0,0,9456954,9379001,4863398,0,0,0,0,4507190,4098265
10,10,100,1,0,8,800,176,47,2,6,73806355,0,0,0,0,81038153,67701825,125745116,0,0,0,0,195237256,233637047,8366948,0,0,0,0,9540373,9495003,4817199,0,0,0,0,4376848,4145683
10,10,100,1,0,8,800,176,48,2,6,75268194,0,0,0,0,81818832,67664812,125745117,0,0,0,0,195237256,233637047,8243895,0,0,0,0,9375712,9414848,4919684,0,0,0,0,4411640,4049719
10,10,100,1,0,8,800,176,49,2,6,76440918,0,0,0,0,82359278,67884443,125745117,0,0,0,0,195237256,233637047,8287617,0,0,0,0,9494757,9387664,4957428,0,0,0,0,4441433,4091218
10,10,100,1,0,8,800,176,50,2,6,75447091,0,0,0,0,81798096,67794299,125745116,0,0,0,0,195237256,233637047,8217112,0,0,0,0,9500185,9495093,4951704,0,0,0,0,4357403,4194639
10,10,100,1,0,8,800,176,51,2,6,76837236,0,0,0,0,82155503,67914474,125745117,0,0,0,0,195237256,233637047,8192977,0,0,0,0,9453428,9448367,5102837,0,0,0,0,4438854,3992623
