platcode,op,repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,coro-no-prefetch-ratio-mean,coro-no-prefetch-ratio-sd,coro-prefetch-ratio-mean,coro-prefetch-ratio-sd
pi,leaf,100,10,100,1,0,2,20,708,2,0,0.9511773118704842,0.003915684430277056,0.7924193242527805,0.0012891664392459118
pi,leaf,100,10,100,1,0,4,80,136,2,0,0.7649512527242786,0.0019124202965010665,1.2183196825231082,0.0014338232162244002
pi,svm,100,10,100,1,0,2,80,348,2,0,0.7906240312664091,0.009161335574261773,0.8248043114329348,0.0035877305752614174
pi,svm,100,10,100,1,0,2,80,392,2,0,0.7563679760875454,0.005102187814454116,0.8158905911184108,0.0019445799861203608
pi,svm32,100,10,100,1,0,2,80,206,4,0,0.7995945251062346,0.005687196020232537,0.7847871470597977,0.0010655225985638378
pi,svm32,100,10,100,1,0,6,80,114,4,0,0.5890564669079906,0.0010570176956078428,0.716318205295436,0.0006980669448124385
pi,svmf32,100,10,100,1,0,2,80,688,4,0,0.931460723468126,0.0020609613696663297,0.6992749141967672,0.0003674495103060953
pi,svmf32,100,10,100,1,0,2,80,184,4,0,0.9303889476338523,0.004108231492562888,0.8782126501784374,0.00297996134426632
pi,svmf64,100,10,100,1,0,2,80,88,8,0,0.8919280981055686,0.007560871566669753,0.8234347688935985,0.0019367325100473312
pi,svmf64,100,10,100,1,0,4,80,80,8,0,0.785517150354923,0.0007708787149638207,0.7738267949183129,0.0007516270348316197
pi,norm,100,10,100,2,0,2,80,1024,2,0,0.9977702671655148,3.958124705963483e-05,0.9924665956153933,7.160164155181845e-05
pi,norm,100,10,100,2,0,2,80,1024,2,0,0.9961617470096119,4.765313292864557e-05,0.9920070710031834,0.00014439217406765788
pi,norm32,100,10,100,2,0,2,5,92,4,0,0.9962731995528128,0.0011977702020984204,0.9993069681059551,0.001209007327225875
pi,norm32,100,10,100,2,0,2,5,92,4,0,0.9962244274299316,0.0015761334871573676,0.9992802420141708,0.001577453268299542
pi,normf32,100,10,100,2,0,4,5,104,4,0,0.9397806329705296,0.005032333467932469,0.9403386248571277,0.0036322269977857634
pi,normf32,100,10,100,2,0,6,5,172,4,0,0.9905527742589036,0.004262223351658363,0.9986633173196137,0.0036215136156147586
pi,normf64,100,10,100,2,0,2,10,88,8,0,0.9757284406511231,0.003167545687834482,0.9615079437768634,0.0034047437702898983
pi,normf64,100,10,100,2,0,6,10,76,8,0,0.9448242520830884,0.003579786986505965,0.9547934230474704,0.0019251014345219295
pi,cnn,100,10,100,2,0,2,40,310,2,0,0.9784269230456153,0.000650146528562479,0.9487877886334843,0.0010493902823519102
pi,cnn,100,10,100,2,0,2,40,350,2,0,0.9789498167634025,0.0005016304443488302,0.9452929442636241,0.0006530470718535528
pi,cnn32,100,10,100,2,0,2,40,86,4,0,0.9823129900083427,0.00029512628226879785,0.9739557209628222,0.0005222773453929662
pi,cnn32,100,10,100,2,0,2,40,82,4,0,0.9851328994464843,0.00016411334373786903,0.9740209829900599,0.000505252849593236
pi,cnnf32,100,10,100,2,0,2,40,94,4,0,0.965941600101555,0.0016022033781355552,0.9369776080553568,0.0012625539066489528
pi,cnnf32,100,10,100,2,0,2,40,94,4,0,0.9639662525053803,0.0019010451207363995,0.9377902052493643,0.0012600495456361273
pi,cnnf64,100,10,100,2,0,2,40,82,8,0,0.9378755698697617,0.001814165335481868,0.8968813747696122,0.0013903482561919242
pi,cnnf64,100,10,100,2,0,2,40,82,8,0,0.939965075909651,0.0018370178616435027,0.8980987938463335,0.0008584341604584941
